time,acc.x_y,acc.y_y,acc.z_y,gyro.x_y,gyro.y_y,gyro.z_y,,time,x acc,acc.z_y,gyro.z_y
4271351,0.059658188,0.015158625,1.02900207,140.4320374,-9.455338478,-5.972327232,,4.271351,59.65818837,1.02900207,-5.972327232
4271451,-0.121098958,0.072265372,0.995312989,-203.6107483,-67.72959137,-62.89575958,,4.271451,-121.098958,0.995312989,-62.89575958
4271551,0.00215334,-0.058542661,1.058351636,152.2211609,60.34812164,-0.894081712,,4.271551,2.153340261,1.058351636,-0.894081712
4271651,0.050792716,0.16386202,1.048076749,7.633495331,23.92965698,12.64119339,,4.271651,50.79271644,1.048076749,12.64119339
4271751,0.081014946,0.030290555,1.090076804,-69.59564972,-21.95625305,9.394964218,,4.271751,81.0149461,1.090076804,9.394964218
4271851,-0.072693996,0.012976731,1.00499177,1.516813159,19.94730568,4.020675182,,4.271851,-72.69399613,1.00499177,4.020675182
4271951,-0.009944932,0.031589773,0.934052169,15.94056511,3.376270533,4.750607014,,4.271951,-9.944931604,0.934052169,4.750607014
4272051,0.057125345,0.168144971,1.000735641,5.832903862,-5.334757328,3.621194601,,4.272051,57.12534487,1.000735641,3.621194601
4272151,0.011200517,0.169643492,1.007452607,-22.86623955,-22.83675194,7.907569885,,4.272151,11.20051742,1.007452607,7.907569885
4272251,-0.156467378,0.024838505,0.908709705,-25.9491272,18.62033653,9.54127121,,4.272251,-156.4673781,0.908709705,9.54127121
4272351,-0.249851093,-0.051400103,0.945781827,9.2508955,-13.80825424,2.798923492,,4.272351,-249.8510927,0.945781827,2.798923492
4272451,-0.043890614,0.221877024,1.131461859,3.362760782,-20.35201645,13.7664566,,4.272451,-43.89061406,1.131461859,13.7664566
4272551,-0.073114067,0.092835739,1.204011321,2.167996407,12.11125278,5.027970314,,4.272551,-73.11406732,1.204011321,5.027970314
4272651,0.054792736,-0.264530778,1.084693074,1.030935049,-2.677763462,-9.065223694,,4.272651,54.79273573,1.084693074,-9.065223694
4272751,-0.030777114,0.354194641,1.018250823,-7.021428585,1.999722958,-13.89018726,,4.272751,-30.77711351,1.018250823,-13.89018726
4272851,0.02523776,0.49575752,1.104461551,-2.242716789,-11.13827419,-10.21057224,,4.272851,25.23775958,1.104461551,-10.21057224
4272951,-0.162239388,0.206488445,0.99726218,-1.78078568,-11.98588085,-5.912503719,,4.272951,-162.2393876,0.99726218,-5.912503719
4273051,-0.062439814,-0.102384187,1.017976046,-6.04512167,2.672751188,-1.635858297,,4.273051,-62.43981421,1.017976046,-1.635858297
4273151,-0.313512385,0.027112857,0.883641124,-4.026092529,-3.608887434,-0.26032266,,4.273151,-313.5123849,0.883641124,-0.26032266
4273251,-0.09991125,0.09194205,0.928342223,-4.178338051,-1.249701858,1.308611989,,4.273251,-99.91125017,0.928342223,1.308611989
4273351,-0.055120774,0.098356053,0.98017329,-19.16890144,0.662206292,-0.456872881,,4.273351,-55.12077361,0.98017329,-0.456872881
4273451,0.104219705,-0.210370913,1.059314013,-9.504984856,3.617156029,2.983276367,,4.273451,104.2197049,1.059314013,2.983276367
4273551,0.012607494,-0.082390934,0.933035731,-9.882268906,-0.512195349,2.488719702,,4.273551,12.60749437,0.933035731,2.488719702
4273651,0.031006219,0.452943623,1.073927283,-10.65352821,4.35544157,2.56671834,,4.273651,31.00621887,1.073927283,2.56671834
4273751,0.00239488,-0.378203541,1.075672269,32.12889481,1.307570338,0.902863443,,4.273751,2.394879935,1.075672269,0.902863443
4273851,-0.158926278,-0.055612329,0.94645071,38.61867905,-6.367560863,1.965019345,,4.273851,-158.9262784,0.94645071,1.965019345
4273951,0.051952019,-0.005289227,0.974186719,170.4130096,-67.80310059,0.210340321,,4.273951,51.95201933,0.974186719,0.210340321
4274051,-0.088778786,0.302328318,0.932804942,-52.30059814,7.019691467,2.425080299,,4.274051,-88.77878636,0.932804942,2.425080299
4274151,0.07575345,0.250846565,1.039683819,-23.94035339,6.715461731,0.718083024,,4.274151,75.75345039,1.039683819,0.718083024
4274251,-0.033400837,-0.1512101,1.012369037,-24.9915657,17.80404854,-0.553291619,,4.274251,-33.40083733,1.012369037,-0.553291619
4274351,-0.016160011,-0.130094782,0.959568203,-17.60257912,10.69719982,-0.13547042,,4.274351,-16.16001129,0.959568203,-0.13547042
4274451,0.057781003,0.108561717,0.939726472,-12.96538067,6.138358116,0.513291836,,4.274451,57.78100342,0.939726472,0.513291836
4274551,0.006423253,0.017489841,0.828741789,-5.542921066,1.752863646,1.246557355,,4.274551,6.423252635,0.828741789,1.246557355
4274651,0.009979851,0.025730282,0.766078353,-3.172592402,2.027098179,-0.029939521,,4.274651,9.979850613,0.766078353,-0.029939521
4274751,-0.0319352,-0.001396226,0.797522247,-2.209956884,-1.155754447,-1.074014664,,4.274751,-31.9352001,0.797522247,-1.074014664
4274851,-0.040517021,-0.014940686,0.875467956,-46.13380814,1.589784861,-2.812337399,,4.274851,-40.51702097,0.875467956,-2.812337399
4274951,0.154370472,-0.06476371,1.142932415,-46.13896561,7.5532794,-0.240012318,,4.274951,154.3704718,1.142932415,-0.240012318
4275051,0.069468804,0.005187734,1.034406662,-0.569063485,8.227815628,3.264764071,,4.275051,69.4688037,1.034406662,3.264764071
4275151,0.027957629,0.007386347,1.027248025,9.010608673,-9.8562994,0.068724468,,4.275151,27.95762941,1.027248025,0.068724468
4275251,-0.006127205,-0.029333154,0.98118633,31.40124893,-7.416653633,-0.991659701,,4.275251,-6.127205212,0.98118633,-0.991659701
4275351,0.112369247,0.026152864,0.928946376,115.0941162,-30.24571991,0.249282241,,4.275351,112.3692468,0.928946376,0.249282241
4275451,0.009224711,0.031218182,0.966874778,-36.73251343,10.15301609,2.445955992,,4.275451,9.224710986,0.966874778,2.445955992
4275551,0.011717787,0.009049208,0.956864536,-18.65375328,-4.146231651,1.447485209,,4.275551,11.71778701,0.956864536,1.447485209
4275651,0.014297435,-0.038370136,0.898207188,-16.77582169,14.19260693,1.480763316,,4.275651,14.29743506,0.898207188,1.480763316
4275751,-0.045483738,-0.060444888,0.963644624,-13.87455463,15.90757275,0.286596119,,4.275751,-45.48373818,0.963644624,0.286596119
4275851,-0.001345751,-0.012315968,0.941360831,-0.662987292,10.51913548,0.662908077,,4.275851,-1.345750527,0.941360831,0.662908077
4275951,0.012727339,-0.03409493,0.930606604,7.730055332,58.55849075,1.148484111,,4.275951,12.72733882,0.930606604,1.148484111
4276051,-0.01876984,-0.053262033,0.866271555,6.123439789,28.59553337,-1.37215507,,4.276051,-18.76983978,0.866271555,-1.37215507
4276151,0.047980193,0.078435965,1.038354635,5.531466484,-7.09829855,-1.411363363,,4.276151,47.98019305,1.038354635,-1.411363363
4276251,-0.01884912,0.035550933,0.946185708,8.783330917,-24.4025631,-4.849704266,,4.276251,-18.84911954,0.946185708,-4.849704266
4276351,-0.007172067,-0.015503872,0.951348901,9.988068581,-41.33164215,-2.651735783,,4.276351,-7.172067184,0.951348901,-2.651735783
4276451,-0.010257629,0.003522317,0.94455117,-13.35168552,-30.6610527,0.501678348,,4.276451,-10.25762875,0.94455117,0.501678348
4276551,-0.005291259,-0.055253644,1.165201545,8.051005363,-28.83310699,-6.468040943,,4.276551,-5.291258916,1.165201545,-6.468040943
4276651,-0.024413433,-0.031646103,1.265266418,-3.294724703,-5.116903305,-1.379032493,,4.276651,-24.41343293,1.265266418,-1.379032493
4276751,0.002442881,0.031293355,1.12437427,-0.253413349,5.153387547,0.881020427,,4.276751,2.442880766,1.12437427,0.881020427
4276851,-0.011661068,0.028447021,1.09651494,0.769287944,2.618649483,0.473424941,,4.276851,-11.66106761,1.09651494,0.473424941
4276951,0.051520161,0.311056882,1.083736897,0.692122757,2.076537848,1.134857535,,4.276951,51.52016133,1.083736897,1.134857535
4277051,-0.070833348,0.034282926,1.080166698,-3.20599103,29.55450439,0.122209273,,4.277051,-70.83334774,1.080166698,0.122209273
4277151,0.012345544,0.176864803,1.104900599,-17.87088966,3.865002632,1.673066854,,4.277151,12.34554406,1.104900599,1.673066854
4277251,-0.040758528,-0.120254278,1.06672585,-2.886813164,-7.674331188,0.266334057,,4.277251,-40.75852782,1.06672585,0.266334057
4277351,0.006931517,0.044264358,1.197136641,-1.422999382,-5.130300522,-0.226009935,,4.277351,6.931517273,1.197136641,-0.226009935
4277451,0.158671632,-0.25280264,1.153748274,2.546605349,-3.435947895,-2.777288914,,4.277451,158.6716324,1.153748274,-2.777288914
4277551,0.101991423,-0.133824244,0.927829385,27.27924728,20.92474174,2.295851707,,4.277551,101.9914225,0.927829385,2.295851707
4277651,0.041762657,-0.096431799,1.017034411,14.64073086,4.391460419,1.462020993,,4.277651,41.76265746,1.017034411,1.462020993
4277751,0.031294048,-0.028375519,0.960637629,9.258704185,-0.881481051,1.228702545,,4.277751,31.29404783,0.960637629,1.228702545
4277851,-0.068720132,-0.165010706,0.851551712,0.732515276,-9.793247223,1.681675792,,4.277851,-68.72013211,0.851551712,1.681675792
4277951,0.128264859,-0.000404199,0.982138813,0.118583523,-6.945482731,1.807972312,,4.277951,128.2648593,0.982138813,1.807972312
4278051,-0.057541151,-0.054167502,1.008296251,-13.48652744,0.74738574,1.843795657,,4.278051,-57.5411506,1.008296251,1.843795657
4278151,0.078635842,0.018719129,1.05350852,-3.276348591,-5.935143471,-0.165663615,,4.278151,78.63584161,1.05350852,-0.165663615
4278251,-0.001865815,0.013591912,0.886478305,-4.373178005,1.808543205,1.703248382,,4.278251,-1.865814556,0.886478305,1.703248382
4278351,-0.021485761,0.016204679,0.836285114,-76.10406494,-59.72629547,-0.116423443,,4.278351,-21.48576081,0.836285114,-0.116423443
4278451,0.023162033,0.02885456,0.878775597,-20.10033035,-14.13712788,-0.820132256,,4.278451,23.16203341,0.878775597,-0.820132256
4278551,-0.038779248,-0.055030212,0.777578712,42.73965454,47.21709061,-1.868874073,,4.278551,-38.77924755,0.777578712,-1.868874073
4278651,-0.031386834,0.031395745,0.859411717,-6.11542654,22.74594879,0.227083206,,4.278651,-31.38683364,0.859411717,0.227083206
4278751,-0.007860993,0.055121858,0.857862294,5.997515202,10.122859,2.761835337,,4.278751,-7.860993035,0.857862294,2.761835337
4278851,0.007063209,-0.005942065,0.743428648,12.39106846,18.09412956,0.033336911,,4.278851,7.063209079,0.743428648,0.033336911
4278951,-0.036766313,-0.003486258,0.788327456,10.53922272,2.287725449,-0.482616425,,4.278951,-36.76631302,0.788327456,-0.482616425
4279051,0.028831666,0.018468373,0.882189691,-1.799144149,4.928373337,1.415189743,,4.279051,28.83166634,0.882189691,1.415189743
4279151,0.04687329,0.063269429,0.939703465,7.825535297,-1.019269228,4.554031372,,4.279151,46.87329009,0.939703465,4.554031372
4279251,-0.089406632,0.022906985,1.070338607,-7.367326736,-6.193752766,2.506947517,,4.279251,-89.40663189,1.070338607,2.506947517
4279351,-0.226773962,-0.101673752,0.832918108,-9.102840424,-2.973063707,-1.167110085,,4.279351,-226.7739624,0.832918108,-1.167110085
4279451,-0.034868862,0.160581201,1.08131361,10.12338066,-1.0267241,-7.411243439,,4.279451,-34.86886248,1.08131361,-7.411243439
4279551,-0.036639694,-0.008198342,0.9794119,5.443943501,4.752110004,-5.735500336,,4.279551,-36.63969412,0.9794119,-5.735500336
4279651,0.140575513,-0.014805812,1.032209516,-0.137052491,5.664349079,-3.520648241,,4.279651,140.5755132,1.032209516,-3.520648241
4279751,-1.465472341,-1.157286882,6.25246191,-38.25429153,137.1071167,-10.55021095,,4.279751,-1465.472341,6.25246191,-10.55021095
4279851,-0.056841798,-0.196713224,1.082534909,-6.336678982,-27.5939312,-4.513201714,,4.279851,-56.84179813,1.082534909,-4.513201714
4279951,-0.251969546,-0.10666094,0.858597875,2.374810696,6.881641865,-11.15418434,,4.279951,-251.9695461,0.858597875,-11.15418434
4280051,-0.004056119,-0.143392146,1.068897843,1.014688849,12.59998035,-5.081439018,,4.280051,-4.05611936,1.068897843,-5.081439018
4280151,-0.063954875,-0.03802776,0.941637158,-3.46973753,5.772445679,-2.768195391,,4.280151,-63.95487487,0.941637158,-2.768195391
4280251,-0.037470251,0.296590865,0.989730716,-2.434203148,-6.527439594,-1.429508805,,4.280251,-37.47025132,0.989730716,-1.429508805
4280351,0.026585098,0.020665642,1.002335548,-1.462350607,-3.382377625,6.128568649,,4.280351,26.58509836,1.002335548,6.128568649
4280451,0.040381376,0.22875534,1.130555987,0.419927955,-5.465975285,5.264535904,,4.280451,40.3813757,1.130555987,5.264535904
4280551,-0.112137593,0.013364294,1.071296692,3.99849534,-6.232354641,2.234369516,,4.280551,-112.1375933,1.071296692,2.234369516
4280651,0.007173713,0.011477721,0.970390976,-0.580043674,-1.252910137,3.662710428,,4.280651,7.173712831,0.970390976,3.662710428
4280751,0.015883232,0.009418215,0.953130722,0.129997537,-4.464591026,4.825850964,,4.280751,15.88323154,0.953130722,4.825850964
4280851,-0.177125529,-0.07420665,0.818377972,-0.179487824,1.365095496,6.37032938,,4.280851,-177.1255285,0.818377972,6.37032938
4280951,-0.127311081,0.088566251,1.113144279,16.56791306,-62.68512726,8.904047012,,4.280951,-127.3110807,1.113144279,8.904047012
