"acc.x_x","acc.x_y","acc.y_x","acc.y_y","acc.z_x","acc.z_y","gyro.x_x","gyro.x_y","gyro.y_x","gyro.y_y","gyro.z_x","gyro.z_y"
216355,-0.0002829591103,216355,-0.0002791748266,216355,-1.020005584,216355,0.09442124516,216355,0.001943428419,216355,0.07180084288,
216455,0.0002247840603,216455,-0.00132110843,216455,-1.015869737,216455,0.131511718,216455,-0.01903207228,216455,0.00145218824,
216555,-0.0008588920464,216555,-0.000119313394,216555,-1.021222472,216555,0.006772063673,216555,-0.0467717126,216555,0.1120064855,
216655,0.000898752769,216655,-0.000115131661,216655,-1.019946218,216655,0.1214743257,216655,-0.08241771907,216655,0.1983706653,
216755,0.002664721804,216755,-0.0003767842136,216755,-1.018749118,216755,0.1525583416,216755,-0.03786575049,216755,0.1301505864,
216855,0.001015386195,216855,-0.0003529591195,216855,-1.016786575,216855,0.1683226526,216855,-0.07675993443,216855,0.01470258366,
216955,0.003119775327,216955,-0.001154074213,216955,-1.019461513,216955,0.09345347434,216955,-0.05216560513,216955,0.05582232401,
217055,0.001630742336,217055,-0.002068731235,217055,-1.015664101,217055,0.08884006739,217055,0.0157103911,217055,0.140801087,
217155,0.001038067625,217155,-0.0008731376147,217155,-1.018085361,217155,0.1521591693,217155,-0.06821286678,217155,0.02544271573,
217255,0.002412854461,217255,-0.0008401200175,217255,-1.018314242,217255,0.009600667283,217255,-0.07648232579,217255,0.0246696379,
217355,0.001368203782,217355,-0.001438059029,217355,-1.016336203,217355,0.1146237925,217355,-0.14459005,217355,0.07578446716,
217455,0.002509295009,217455,-0.001465845155,217455,-1.020717621,217455,0.06791692972,217455,-0.1377083063,217455,0.09697210789,
217555,0.002663471969,217555,-0.00154465111,217555,-1.019852877,217555,0.001399662578,217555,-0.1234345511,217555,0.2122114897,
217655,0.001560908044,217655,-0.001157800201,217655,-1.02039659,217655,0.07014179975,217655,-0.09125169367,217655,0.1265185177,
217755,0.0003366199962,217755,-0.0004738019779,217755,-1.021009088,217755,0.1443558931,217755,-0.01771444641,217755,0.2185123861,
217855,-0.001378363231,217855,0.0009810627671,217855,-1.01898551,217855,0.07079847157,217855,-4.42508026e-05,217855,0.1387159824,
217955,0.001546963351,217955,-0.002324054949,217955,-1.017681479,217955,0.04049960151,217955,-0.02398819104,217955,0.1939644963,
218055,0.0003787936002,218055,-0.01093132701,218055,-1.014933705,218055,-0.203950122,218055,0.07013202459,218055,0.3817520142,
218155,0.0006156751188,218155,0.001290007378,218155,-1.016169548,218155,-0.1053373441,218155,0.03116240911,218155,0.135671258,
218255,0.001901851152,218255,0.0001026563623,218255,-1.016407371,218255,0.3373456299,218255,0.0648502335,218255,0.1016996801,
218355,0.00109673664,218355,-0.001195375691,218355,-1.019684315,218355,0.2028013617,218355,0.05057374761,218355,0.140013203,
218455,0.001633043867,218455,-0.001342539559,218455,-1.017502308,218455,0.2760630548,218455,-0.0381170176,218455,0.1140354201,
218555,-9.110747487e-05,218555,-0.0008876824868,218555,-1.018656969,218555,0.139935717,218555,-0.06044387072,218555,0.1305058897,
218655,-0.04667700827,218655,0.03694495186,218655,-1.073942065,218655,0.7332038283,218655,-1.794164896,218655,0.428291738,
218755,-0.08644076437,218755,-0.1545926034,218755,-1.537534833,218755,-24.58712196,218755,-23.34456825,218755,-73.68144226,
218855,-0.8545283675,218855,0.6071832776,218855,-1.582047105,218855,-47.41397095,218855,-177.9546967,218855,146.5365753,
218955,-0.920391798,218955,0.9969377518,218955,-1.679104209,218955,-324.1125183,218955,-372.0854187,218955,406.756012,
219055,-0.2896998227,219055,1.43434906,219055,-0.1411520094,219055,-422.4393921,219055,-285.1682129,219055,269.3082886,
219155,0.1686949581,219155,0.3991701603,219155,0.316006422,219155,-278.7684326,219155,28.72480011,219155,7.878682613,
219255,0.3706715405,219255,-0.05588536337,219255,0.3882470131,219255,-122.3237381,219255,69.81809235,219255,27.7619381,
219355,0.3070397079,219355,0.165557161,219355,0.4894505739,219355,23.1033783,219355,78.82972717,219355,21.50640869,
