time,acc.x_y,time,acc.y_y,time,acc.z_y,time,gyro.x_y,time,gyro.y_y,time,gyro.z_y,avgx,avgy,avgz
1319655,-0.020760825,1319655,-0.008253572,1319655,0.983913481,1319655,0.222653464,1319655,0.248023257,1319655,-0.05528516,-5.17099252,-1.74134008,-1.748166629
1320155,-0.018485378,1320155,-0.007839378,1320155,0.985520542,1320155,0.123520933,1320155,0.182042494,1320155,-0.050802104,,,
1320655,-0.018328577,1320655,-0.009286665,1320655,0.983224034,1320655,0.113766022,1320655,0.155195341,1320655,-0.165483415,,,
1321155,-0.019026423,1321155,-0.008734682,1321155,0.982725143,1321155,0.264448881,1321155,0.154006884,1321155,-0.086039364,,,
1321655,-0.017950742,1321655,-0.008463519,1321655,0.98388952,1321655,0.265050829,1321655,0.275754482,1321655,-0.16835627,,,
1322155,-0.019610539,1322155,-0.008254114,1322155,0.985726833,1322155,0.251446754,1322155,0.147549465,1322155,-0.089965373,,,
1322655,-0.019620659,1322655,-0.008174217,1322655,0.983843863,1322655,0.326627731,1322655,0.194644466,1322655,-0.055302773,,,
1323155,-0.018022554,1323155,-0.007878602,1323155,0.983803511,1323155,0.15968211,1323155,0.259707719,1323155,-0.140997872,,,
1323655,-0.019806029,1323655,-0.007573519,1323655,0.985116243,1323655,0.184099048,1323655,0.276874483,1323655,-0.128655911,,,
1324155,-0.020069344,1324155,-0.009992218,1324155,0.979805708,1324155,0.1899288,1324155,0.238923505,1324155,-0.167995036,,,
1324655,-0.019195952,1324655,-0.009829295,1324655,0.983810902,1324655,0.200991854,1324655,0.231627375,1324655,-0.138241753,,,
1325155,-0.020940734,1325155,-0.009845816,1325155,0.982910395,1325155,0.152403668,1325155,0.105699137,1325155,-0.086349793,,,
1325655,-0.018540842,1325655,-0.009391988,1325655,0.983722389,1325655,0.249144882,1325655,0.163122639,1325655,-0.055833407,,,
1326155,-0.019190714,1326155,-0.00825249,1326155,0.984110177,1326155,0.283505052,1326155,0.167028263,1326155,-0.185021102,,,
1326655,-0.018394331,1326655,-0.009097888,1326655,0.985548437,1326655,0.209788978,1326655,0.320858598,1326655,-0.193050146,,,
1327155,-0.018406205,1327155,-0.008865109,1327155,0.983625293,1327155,0.253110677,1327155,0.129868314,1327155,-0.167194501,,,
1327655,-0.017817006,1327655,-0.007184225,1327655,0.986331642,1327655,0.269369096,1327655,0.274883956,1327655,-0.124202475,,,
1328155,-0.018070433,1328155,-0.00766815,1328155,0.981330335,1328155,0.104589544,1328155,0.247701868,1328155,-0.166354746,,,
1328655,-0.017309975,1328655,-0.007446232,1328655,0.986413777,1328655,0.199959293,1328655,0.095873877,1328655,-0.231962934,,,
1329155,-0.0192701,1329155,-0.008617215,1329155,0.986808717,1329155,0.301388204,1329155,0.238137573,1329155,-0.099974826,,,
1329655,-0.018315131,1329655,-0.009547033,1329655,0.983296871,1329655,0.19213742,1329655,0.195265457,1329655,-0.165055618,,,
1330155,-0.018078232,1330155,-0.009358406,1330155,0.98435396,1330155,0.180544287,1330155,0.159673989,1330155,-0.067233257,,,
1330655,-0.017689763,1330655,-0.007987135,1330655,0.984450936,1330655,0.239814296,1330655,0.20924066,1330655,-0.208285019,,,
1331155,-0.021194655,1331155,-0.00982336,1331155,0.985375226,1331155,-0.043148398,1331155,-0.378982306,1331155,-2.090473413,,,
1331655,0.0034116,1331655,-0.00166222,1331655,1.073192477,1331655,-0.762412012,1331655,-1.369949222,1331655,0.187523007,,,
1332155,0.023899572,1332155,0.00392182,1332155,0.953605712,1332155,-3.886179686,1332155,-2.171058893,1332155,-0.884787381,,,
1332655,0.05865911,1332655,0.09853413,1332655,0.977219343,1332655,5.929453373,1332655,-4.881719112,1332655,10.24830914,,,
1333155,0.00015321,1333155,0.02220951,1333155,1.057169557,1333155,-0.224764049,1333155,4.529100418,1333155,-0.840832889,,,
1333655,-0.104142726,1333655,-0.012711531,1333655,0.98101598,1333655,-5.249588013,1333655,13.43153858,1333655,1.816692233,,,
1334155,-0.021848863,1334155,0.007932696,1334155,1.024556994,1334155,-4.844286442,1334155,-26.56814575,1334155,-2.596753597,,,
1334655,-0.142974302,1334655,-0.068703137,1334655,0.88913995,1334655,2.726314068,1334655,-16.14386749,1334655,-1.324859381,,,
1335155,0.036568366,1335155,0.099471614,1335155,0.903939247,1335155,3.237448454,1335155,-5.361729622,1335155,-0.656473696,,,
1335655,-0.149566218,1335655,0.119253494,1335655,1.050622344,1335655,-0.841940522,1335655,6.510570526,1335655,-4.56791544,,,
1336155,-0.10849838,1336155,-0.24708049,1336155,0.934710562,1336155,14.81388664,1336155,7.69453907,1336155,3.24526763,,,
1336655,-0.194839284,1336655,0.066944726,1336655,0.823742926,1336655,27.13408089,1336655,13.79427719,1336655,0.82843858,,,
1337155,0.003626264,1337155,0.109508097,1337155,1.069732785,1337155,1.004195333,1337155,-1.956649423,1337155,-1.960955024,,,
1337655,-0.022476429,1337655,-0.011247319,1337655,1.05791688,1337655,23.36144638,1337655,2.320267916,1337655,2.76977253,,,
1338155,0.025408793,1338155,0.020890996,1338155,0.965782404,1338155,-4.298510551,1338155,1.86338377,1338155,1.66018486,,,
1338655,0.021381103,1338655,-0.05974279,1338655,1.059951663,1338655,0.917703629,1338655,10.06938362,1338655,0.757574141,,,
1339155,-0.102875382,1339155,0.065435238,1339155,1.034056783,1339155,-3.424192429,1339155,0.504351676,1339155,0.368794233,,,
1339655,0.198259711,1339655,-0.10136123,1339655,1.007399082,1339655,4.151832104,1339655,4.07864809,1339655,0.879183769,,,
1340155,0.152677178,1340155,0.288108051,1340155,1.158997059,1340155,5.479472637,1340155,-0.873688161,1340155,0.863289893,,,
1340655,0.090770721,1340655,0.192429707,1340655,0.978603482,1340655,-3.817022562,1340655,-2.665168762,1340655,-0.09390638,,,
1341155,0.043068893,1341155,0.193980724,1341155,1.10143292,1341155,-0.252516359,1341155,1.710261941,1341155,1.014523149,,,
1341655,0.063946374,1341655,-0.076480761,1341655,1.105211496,1341655,-4.265208244,1341655,-0.288237482,1341655,0.542217314,,,
1342155,0.002985357,1342155,-0.048888166,1342155,1.042495728,1342155,-1.275324225,1342155,4.760504723,1342155,0.704754531,,,
1342655,-0.018320378,1342655,-0.066824414,1342655,0.889608622,1342655,-1.214415669,1342655,-1.374550581,1342655,-0.035073224,,,
1343155,-0.082305461,1343155,-0.094870597,1343155,0.93749404,1343155,2.400001764,1343155,1.330277681,1343155,-0.955174029,,,
1343655,-1.489894032,1343655,-0.904202282,1343655,4.466981411,1343655,-21.73647881,1343655,62.38853455,1343655,6.816026211,,,
1344155,0.101843245,1344155,0.122389786,1344155,0.983464122,1344155,-2.185707808,1344155,1.06033814,1344155,-2.236041307,,,
1344655,0.107160732,1344655,0.01888627,1344655,1.01639688,1344655,2.20014143,1344655,-1.916037202,1344655,-1.28194201,,,
1345155,-0.005412488,1345155,-0.136816502,1345155,0.975125492,1345155,-0.326745361,1345155,-2.647360802,1345155,-0.161012411,,,
1345655,0.013293661,1345655,-0.1428563,1345655,1.02756691,1345655,0.184945017,1345655,-0.725035131,1345655,-0.117426135,,,
1346155,0.03992052,1346155,-0.043448661,1346155,0.970266759,1346155,7.600562572,1346155,15.51129341,1346155,1.03542006,,,
1346655,-0.033021763,1346655,0.010098364,1346655,0.979718685,1346655,5.095195293,1346655,4.110626221,1346655,1.247117281,,,
1347155,-0.151870459,1347155,-0.14293766,1347155,0.858516216,1347155,-4.047442436,1347155,-11.34043503,1347155,-1.836163044,,,
1347655,-0.005334501,1347655,0.052524902,1347655,1.052376628,1347655,-5.764319897,1347655,-2.702535868,1347655,-4.416106224,,,
1348155,-0.020123005,1348155,-0.011914141,1348155,0.979752004,1348155,-1.660049319,1348155,-5.987698078,1348155,-0.057340406,,,
1348655,-0.033431474,1348655,-0.299099833,1348655,0.821289957,1348655,-9.595773697,1348655,-6.912441254,1348655,3.159772158,,,
1349155,-0.024508018,1349155,-0.057371225,1349155,0.916982293,1349155,-2.75820899,1349155,-0.809244335,1349155,-3.582567453,,,
1349655,0.023979312,1349655,-0.124785878,1349655,0.962273359,1349655,2.161487579,1349655,2.519373894,1349655,-0.447939247,,,
1350155,0.002755842,1350155,0.015776997,1350155,1.002913713,1350155,52.72845078,1350155,9.877537727,1350155,3.523511171,,,
1350655,0.022235187,1350655,0.115345292,1350655,1.001018524,1350655,-58.71187592,1350655,-26.05205536,1350655,1.959518671,,,
1351155,0.011223737,1351155,-0.026113443,1351155,1.005432487,1351155,3.016041756,1351155,1.084356904,1351155,0.713675022,,,
1351655,0.00946123,1351655,-0.037412476,1351655,0.974967003,1351655,-1.801210403,1351655,0.194494799,1351655,-0.862173259,,,
1352155,-0.038230482,1352155,-0.069796868,1352155,0.867453575,1352155,-0.493882984,1352155,-3.127646923,1352155,-4.715575218,,,
1352655,0.035362665,1352655,0.044203971,1352655,1.028356314,1352655,11.34389019,1352655,6.152017593,1352655,-0.580993712,,,
1353155,0.022733793,1353155,0.251604736,1353155,0.968328238,1353155,4.81641674,1353155,0.538426936,1353155,-1.365831852,,,
1353655,-0.024931829,1353655,0.028957635,1353655,0.984591126,1353655,2.910591364,1353655,-3.971628189,1353655,-0.227250263,,,
1354155,0.010072149,1354155,-0.191886634,1354155,0.866995275,1354155,3.133147717,1354155,-15.44123077,1354155,3.589182138,,,
1354655,0.007143599,1354655,0.000923882,1354655,1.014102817,1354655,1.715350032,1354655,-1.549941659,1354655,1.87206316,,,
1355155,-0.041597418,1355155,0.247281775,1355155,1.048749685,1355155,7.248230934,1355155,-11.74821091,1355155,-0.462844402,,,
1355655,0.072456449,1355655,-0.047699239,1355655,1.019298434,1355655,1.058031082,1355655,-1.382220507,1355655,-7.10504818,,,
1356155,0.191124842,1356155,0.172662884,1356155,1.119917154,1356155,13.63175011,1356155,151.7111969,1356155,-0.474411607,,,
1356655,-0.880180895,1356655,-0.054752529,1356655,0.507669628,1356655,-7.861825466,1356655,-174.9363708,1356655,-10.10007095,,,
1357155,-0.358504653,1357155,0.01487801,1357155,0.944152117,1357155,-0.037522603,1357155,-12.96000099,1357155,0.106694646,,,
1357655,-0.366066277,1357655,0.017877107,1357655,0.926648498,1357655,0.307718337,1357655,0.930819988,1357655,0.039377697,,,
1358155,-0.374313593,1358155,0.015148065,1358155,0.922549129,1358155,0.238869831,1358155,1.759908676,1358155,-0.035941012,,,
1358655,-0.395864487,1358655,0.0253515,1358655,0.880175471,1358655,0.904419065,1358655,-14.66508961,1358655,-3.175898075,,,
1359155,-0.447125852,1359155,0.535816729,1359155,0.836584032,1359155,118.8865051,1359155,-56.7171402,1359155,-240.9300079,,,
1359655,-2.918878317,1359655,3.225463867,1359655,2.814905167,1359655,-1501.877319,1359655,-333.5541382,1359655,-169.0005798,,,
1360155,-0.022052059,1360155,-0.012361517,1360155,0.994590819,1360155,0.222007603,1360155,0.188669607,1360155,-0.105696134,,,
1360655,-0.02404831,1360655,-0.012980033,1360655,0.991487682,1360655,0.10381081,1360655,0.077078946,1360655,-0.040951658,,,
1361155,-0.023499103,1361155,-0.013066645,1361155,0.992251396,1361155,0.142733619,1361155,0.16938968,1361155,-0.128608063,,,
1361655,-0.02222966,1361655,-0.01302067,1361655,0.993672609,1361655,0.229265347,1361655,0.07243181,1361655,-0.024528649,,,
1362155,-0.023700362,1362155,-0.013293409,1362155,0.994721353,1362155,0.141535133,1362155,0.119169332,1362155,-0.077700511,,,
1362655,-0.021948589,1362655,-0.011558628,1362655,0.993303478,1362655,0.050756145,1362655,0.119846158,1362655,-0.079164162,,,
1363155,-0.022801893,1363155,-0.013244988,1363155,0.991164267,1363155,0.134672493,1363155,0.287514746,1363155,-0.213651776,,,
1363655,-0.024245016,1363655,-0.012931731,1363655,0.993294656,1363655,0.088298433,1363655,0.236305341,1363655,0.008023934,,,
1364155,-0.021542672,1364155,-0.012735716,1364155,0.994706214,1364155,0.102388144,1364155,0.129551813,1364155,0.015464085,,,
1364655,-0.022995178,1364655,-0.012175394,1364655,0.992902398,1364655,0.276873231,1364655,0.245249331,1364655,-0.177774906,,,
1365155,-0.023666902,1365155,-0.013120997,1365155,0.991834104,1365155,0.106848598,1365155,0.137560457,1365155,-0.047556072,,,
1365655,-0.023320416,1365655,-0.013416776,1365655,0.993186712,1365655,0.187665075,1365655,0.20517014,1365655,-0.073351495,,,
1366155,-0.022106154,1366155,-0.013078726,1366155,0.993458152,1366155,0.113321461,1366155,0.069652237,1366155,0.064279512,,,
1366655,-0.021932693,1366655,-0.012790807,1366655,0.994819105,1366655,0.149395138,1366655,0.059551843,1366655,-0.076557934,,,
1367155,-0.017362637,1367155,-0.004043401,1367155,0.985075355,1367155,0.031461507,1367155,-0.005285242,1367155,0.641790688,,,
1367655,-0.017180908,1367655,0.023388071,1367655,1.059080958,1367655,1.714111924,1367655,-0.046887208,1367655,-0.009035348,,,
1368155,-0.017775659,1368155,0.023798179,1368155,1.015594125,1368155,9.551966667,1368155,0.04353328,1368155,-0.523596406,,,
1368655,-0.021901183,1368655,0.079017505,1368655,1.016860247,1368655,-6.397143364,1368655,0.914991438,1368655,0.962832391,,,
1369155,-0.010917854,1369155,0.068619102,1369155,0.993226111,1369155,-3.607302427,1369155,-1.827975154,1369155,-0.83696872,,,
1369655,-0.000734143,1369655,0.023209857,1369655,0.971046984,1369655,-5.660770893,1369655,-2.212626696,1369655,-0.433970064,,,
1370155,0.015082384,1370155,-0.038650446,1370155,1.06248343,1370155,-0.363223702,1370155,-0.430410922,1370155,-4.299553871,,,
1370655,-0.013151025,1370655,0.034534696,1370655,0.938459575,1370655,1.247770667,1370655,-1.180900216,1370655,-1.735923529,,,
1371155,0.001118054,1371155,-0.013194123,1371155,0.992165566,1371155,2.058135986,1371155,0.996356189,1371155,-2.337273598,,,
1371655,-0.000988989,1371655,-0.026041484,1371655,0.962161839,1371655,-2.614010096,1371655,2.03930974,1371655,1.187673688,,,
1372155,-0.006800331,1372155,0.004596053,1372155,1.001798987,1372155,-0.546910346,1372155,-0.681226909,1372155,-0.383979768,,,
1372655,0.014857447,1372655,-0.027068114,1372655,1.046949744,1372655,-4.960838795,1372655,1.12173593,1372655,-1.995481968,,,
1373155,-0.052349143,1373155,-0.029228192,1373155,0.991297901,1373155,0.914670289,1373155,-0.365628332,1373155,0.492399931,,,
1373655,0.134419501,1373655,-0.022971163,1373655,1.011211276,1373655,6.054056644,1373655,3.159512281,1373655,1.003820539,,,
1374155,-0.009895846,1374155,-0.001141157,1374155,0.982680321,1374155,13.38757992,1374155,6.795604229,1374155,-5.27156496,,,
1374655,0.003604906,1374655,-0.262685806,1374655,0.900990844,1374655,24.47053146,1374655,-1.217088342,1374655,10.45664978,,,
1375155,-0.095796324,1375155,0.056377351,1375155,1.097388864,1375155,15.8388834,1375155,-1.413944244,1375155,3.110476494,,,
